Generation,Fitness
1 , 144.000
2 , 250.000
3 , 250.000
4 , 250.000
5 , 250.000
6 , 250.000
7 , 250.000
8 , 250.000
9 , 250.000
10 , 250.000
11 , 250.000
12 , 250.000
13 , 250.000
14 , 250.000
15 , 250.000
16 , 250.000
17 , 250.000
18 , 250.000
19 , 250.000
20 , 250.000
21 , 250.000
22 , 250.000
23 , 250.000
24 , 250.000
25 , 250.000
26 , 250.000
27 , 250.000
28 , 250.000
29 , 322.000
30 , 322.000
31 , 322.000
32 , 322.000
33 , 322.000
34 , 322.000
35 , 322.000
36 , 322.000
37 , 322.000
38 , 322.000
39 , 322.000
40 , 322.000
41 , 322.000
42 , 322.000
43 , 322.000
44 , 322.000
45 , 322.000
46 , 322.000
47 , 322.000
48 , 322.000
49 , 322.000
50 , 322.000
51 , 322.000
52 , 322.000
53 , 322.000
54 , 322.000
55 , 322.000
56 , 322.000
57 , 322.000
58 , 322.000
59 , 322.000
60 , 322.000
61 , 322.000
62 , 322.000
63 , 322.000
64 , 322.000
65 , 322.000
66 , 322.000
67 , 322.000
68 , 322.000
69 , 322.000
70 , 322.000
71 , 322.000
72 , 322.000
73 , 322.000
74 , 322.000
75 , 322.000
76 , 322.000
77 , 322.000
78 , 322.000
79 , 322.000
80 , 322.000
81 , 322.000
82 , 322.000
83 , 322.000
84 , 322.000
85 , 322.000
86 , 322.000
87 , 322.000
88 , 322.000
89 , 322.000
90 , 322.000
91 , 322.000
92 , 322.000
93 , 322.000
94 , 322.000
95 , 322.000
96 , 322.000
97 , 322.000
98 , 322.000
99 , 322.000
100 , 322.000
101 , 322.000
102 , 322.000
103 , 322.000
104 , 322.000
105 , 322.000
106 , 322.000
107 , 322.000
108 , 322.000
109 , 322.000
110 , 322.000
111 , 322.000
112 , 322.000
113 , 322.000
114 , 322.000
115 , 322.000
116 , 322.000
117 , 322.000
118 , 322.000
119 , 322.000
120 , 322.000
121 , 322.000
122 , 322.000
123 , 322.000
124 , 322.000
125 , 322.000
126 , 334.000
127 , 334.000
128 , 596.000
129 , 596.000
130 , 596.000
131 , 596.000
132 , 596.000
133 , 596.000
134 , 596.000
135 , 596.000
136 , 596.000
137 , 596.000
138 , 596.000
139 , 596.000
140 , 596.000
141 , 596.000
142 , 596.000
143 , 596.000
144 , 596.000
145 , 596.000
146 , 596.000
147 , 596.000
148 , 596.000
149 , 596.000
150 , 596.000
151 , 596.000
152 , 596.000
153 , 596.000
154 , 596.000
155 , 596.000
156 , 596.000
157 , 596.000
158 , 596.000
159 , 596.000
160 , 596.000
161 , 596.000
162 , 596.000
163 , 596.000
164 , 596.000
165 , 596.000
166 , 596.000
167 , 596.000
168 , 596.000
169 , 596.000
170 , 596.000
171 , 596.000
172 , 596.000
173 , 596.000
174 , 596.000
175 , 596.000
176 , 596.000
177 , 596.000
178 , 596.000
179 , 596.000
180 , 596.000
181 , 596.000
182 , 596.000
183 , 596.000
184 , 596.000
185 , 596.000
186 , 596.000
187 , 596.000
188 , 596.000
189 , 596.000
190 , 596.000
191 , 596.000
192 , 596.000
193 , 596.000
194 , 596.000
195 , 596.000
196 , 596.000
197 , 596.000
198 , 596.000
199 , 596.000
200 , 596.000
201 , 596.000
202 , 596.000
203 , 596.000
204 , 596.000
205 , 596.000
206 , 596.000
207 , 596.000
208 , 596.000
209 , 596.000
210 , 596.000
211 , 596.000
212 , 596.000
213 , 596.000
214 , 596.000
215 , 596.000
216 , 596.000
217 , 596.000
218 , 596.000
219 , 596.000
220 , 596.000
221 , 596.000
222 , 596.000
223 , 596.000
224 , 596.000
225 , 596.000
226 , 596.000
227 , 596.000
228 , 596.000
229 , 596.000
230 , 596.000
231 , 596.000
232 , 596.000
233 , 596.000
234 , 596.000
235 , 596.000
236 , 596.000
237 , 596.000
238 , 596.000
239 , 596.000
240 , 596.000
241 , 596.000
242 , 596.000
243 , 596.000
244 , 596.000
245 , 596.000
246 , 596.000
247 , 596.000
248 , 596.000
249 , 596.000
250 , 596.000
251 , 596.000
252 , 596.000
253 , 596.000
254 , 596.000
255 , 596.000
256 , 596.000
257 , 596.000
258 , 596.000
259 , 596.000
260 , 596.000
261 , 596.000
262 , 596.000
263 , 596.000
264 , 596.000
265 , 596.000
266 , 596.000
267 , 596.000
268 , 596.000
269 , 596.000
270 , 596.000
271 , 596.000
272 , 596.000
273 , 596.000
274 , 596.000
275 , 596.000
276 , 596.000
277 , 596.000
278 , 596.000
279 , 596.000
280 , 596.000
281 , 596.000
282 , 596.000
283 , 596.000
284 , 596.000
285 , 596.000
286 , 596.000
287 , 596.000
288 , 596.000
289 , 596.000
290 , 596.000
291 , 596.000
292 , 596.000
293 , 596.000
294 , 596.000
295 , 596.000
296 , 596.000
297 , 596.000
298 , 596.000
299 , 596.000
300 , 596.000
301 , 596.000
302 , 644.000
303 , 644.000
304 , 644.000
305 , 644.000
306 , 644.000
307 , 644.000
308 , 644.000
309 , 644.000
310 , 644.000
311 , 644.000
312 , 644.000
313 , 644.000
314 , 644.000
315 , 644.000
316 , 644.000
317 , 644.000
318 , 644.000
319 , 644.000
320 , 644.000
321 , 644.000
322 , 644.000
323 , 644.000
324 , 644.000
325 , 644.000
326 , 644.000
327 , 644.000
328 , 644.000
329 , 644.000
330 , 644.000
331 , 644.000
332 , 644.000
333 , 644.000
334 , 644.000
335 , 644.000
336 , 644.000
337 , 644.000
338 , 644.000
339 , 644.000
340 , 644.000
341 , 644.000
342 , 644.000
343 , 644.000
344 , 644.000
345 , 644.000
346 , 644.000
347 , 644.000
348 , 644.000
349 , 644.000
350 , 644.000
351 , 644.000
352 , 644.000
353 , 644.000
354 , 644.000
355 , 644.000
356 , 644.000
357 , 644.000
358 , 644.000
359 , 644.000
360 , 644.000
361 , 644.000
362 , 644.000
363 , 644.000
364 , 644.000
365 , 644.000
366 , 644.000
367 , 644.000
368 , 644.000
369 , 644.000
370 , 644.000
371 , 644.000
372 , 644.000
373 , 644.000
374 , 644.000
375 , 644.000
376 , 644.000
377 , 644.000
378 , 644.000
379 , 644.000
380 , 644.000
381 , 644.000
382 , 644.000
383 , 644.000
384 , 644.000
385 , 644.000
386 , 644.000
387 , 644.000
388 , 644.000
389 , 644.000
390 , 644.000
391 , 644.000
392 , 644.000
393 , 644.000
394 , 644.000
395 , 644.000
396 , 644.000
397 , 644.000
398 , 644.000
399 , 644.000
400 , 644.000
401 , 644.000
402 , 644.000
403 , 644.000
404 , 644.000
405 , 644.000
406 , 644.000
407 , 644.000
408 , 644.000
409 , 644.000
410 , 644.000
411 , 644.000
412 , 644.000
413 , 644.000
414 , 644.000
415 , 644.000
416 , 644.000
417 , 644.000
418 , 644.000
419 , 644.000
420 , 644.000
421 , 644.000
422 , 644.000
423 , 644.000
424 , 644.000
425 , 644.000
426 , 644.000
427 , 644.000
428 , 644.000
429 , 644.000
430 , 644.000
431 , 644.000
432 , 644.000
433 , 644.000
434 , 644.000
435 , 644.000
436 , 644.000
437 , 644.000
438 , 644.000
439 , 644.000
440 , 644.000
441 , 644.000
442 , 644.000
443 , 644.000
444 , 644.000
445 , 644.000
446 , 644.000
447 , 644.000
448 , 644.000
449 , 644.000
450 , 644.000
451 , 644.000
452 , 644.000
453 , 644.000
454 , 644.000
455 , 644.000
456 , 644.000
457 , 644.000
458 , 644.000
459 , 644.000
460 , 644.000
461 , 644.000
462 , 644.000
463 , 644.000
464 , 644.000
465 , 644.000
466 , 644.000
467 , 644.000
468 , 644.000
469 , 644.000
470 , 644.000
471 , 644.000
472 , 644.000
473 , 644.000
474 , 644.000
475 , 644.000
476 , 644.000
477 , 644.000
478 , 644.000
479 , 644.000
480 , 644.000
481 , 644.000
482 , 644.000
483 , 644.000
484 , 644.000
485 , 644.000
486 , 644.000
487 , 644.000
488 , 644.000
489 , 644.000
490 , 644.000
491 , 644.000
492 , 644.000
493 , 644.000
494 , 644.000
495 , 644.000
496 , 644.000
497 , 644.000
498 , 644.000
499 , 644.000
500 , 644.000
501 , 644.000
502 , 644.000
503 , 644.000
504 , 644.000
505 , 644.000
506 , 644.000
507 , 644.000
508 , 644.000
509 , 644.000
510 , 644.000
511 , 644.000
512 , 644.000
513 , 644.000
514 , 644.000
515 , 644.000
516 , 644.000
517 , 644.000
518 , 644.000
519 , 644.000
520 , 644.000
521 , 644.000
522 , 644.000
523 , 644.000
524 , 644.000
525 , 644.000
526 , 644.000
527 , 644.000
528 , 644.000
529 , 644.000
530 , 644.000
531 , 644.000
532 , 644.000
533 , 644.000
534 , 644.000
535 , 644.000
536 , 644.000
537 , 644.000
538 , 644.000
539 , 644.000
540 , 644.000
541 , 644.000
542 , 644.000
543 , 644.000
544 , 644.000
545 , 644.000
546 , 644.000
547 , 644.000
548 , 644.000
549 , 644.000
550 , 644.000
551 , 644.000
552 , 644.000
553 , 644.000
554 , 644.000
555 , 644.000
556 , 644.000
557 , 644.000
558 , 644.000
559 , 644.000
560 , 644.000
561 , 644.000
562 , 644.000
563 , 644.000
564 , 644.000
565 , 644.000
566 , 668.000
567 , 668.000
568 , 668.000
569 , 668.000
570 , 668.000
571 , 668.000
572 , 668.000
573 , 668.000
574 , 668.000
575 , 668.000
576 , 668.000
577 , 668.000
578 , 668.000
579 , 668.000
580 , 668.000
581 , 668.000
582 , 668.000
583 , 668.000
584 , 668.000
585 , 668.000
586 , 668.000
587 , 668.000
588 , 668.000
589 , 668.000
590 , 668.000
591 , 668.000
592 , 668.000
593 , 668.000
594 , 668.000
595 , 668.000
596 , 668.000
597 , 668.000
598 , 668.000
599 , 668.000
600 , 668.000
601 , 668.000
602 , 668.000
603 , 668.000
604 , 668.000
605 , 668.000
606 , 668.000
607 , 668.000
608 , 668.000
609 , 668.000
610 , 668.000
611 , 668.000
612 , 668.000
613 , 668.000
614 , 668.000
615 , 668.000
616 , 668.000
617 , 668.000
618 , 668.000
619 , 668.000
620 , 668.000
621 , 668.000
622 , 668.000
623 , 668.000
624 , 668.000
625 , 668.000
626 , 668.000
627 , 668.000
628 , 668.000
629 , 668.000
630 , 668.000
631 , 668.000
632 , 668.000
633 , 668.000
634 , 668.000
635 , 668.000
636 , 668.000
637 , 668.000
638 , 668.000
639 , 668.000
640 , 668.000
641 , 668.000
642 , 668.000
643 , 668.000
644 , 668.000
645 , 668.000
646 , 668.000
647 , 668.000
648 , 668.000
649 , 668.000
650 , 668.000
651 , 668.000
652 , 668.000
653 , 668.000
654 , 668.000
655 , 668.000
656 , 668.000
657 , 668.000
658 , 668.000
659 , 668.000
660 , 668.000
661 , 668.000
662 , 668.000
663 , 668.000
664 , 668.000
665 , 668.000
666 , 668.000
667 , 668.000
668 , 668.000
669 , 668.000
670 , 668.000
671 , 668.000
672 , 668.000
673 , 668.000
674 , 668.000
675 , 668.000
676 , 668.000
677 , 668.000
678 , 668.000
679 , 668.000
680 , 668.000
681 , 668.000
682 , 668.000
683 , 668.000
684 , 668.000
685 , 668.000
686 , 668.000
687 , 668.000
688 , 668.000
689 , 668.000
690 , 668.000
691 , 668.000
692 , 668.000
693 , 668.000
694 , 668.000
695 , 668.000
696 , 668.000
697 , 668.000
698 , 668.000
699 , 668.000
700 , 668.000
701 , 668.000
702 , 668.000
703 , 668.000
704 , 668.000
705 , 668.000
706 , 668.000
707 , 668.000
708 , 668.000
709 , 668.000
710 , 668.000
711 , 668.000
712 , 668.000
713 , 668.000
714 , 668.000
715 , 668.000
716 , 668.000
717 , 668.000
718 , 668.000
719 , 668.000
720 , 668.000
721 , 668.000
